"Sentence"	"Author"
"I am sure there was some great neglect or other on their side, for she is not the kind of girl to do such a thing if she had been well looked after."	"austen"
"She was received, however, very politely by them; and in their brother's manners there was something better than politeness; there was good humour and kindness."	"austen"
"If what I have hitherto said can appear to you in the form of encouragement, I know not how to express my refusal in such a way as to convince you of its being one."	"austen"
"But checking himself, he added, in a gayer tone, Is it in address that he improves?"	"austen"
"Elizabeth excused herself as well as she could; said that she had liked him better when they had met in Kent than before, and that she had never seen him so pleasant as this morning."	"austen"
"Had they fixed on any other man it would have been nothing; but his perfect indifference, and your pointed dislike, make it so delightfully absurd!"	"austen"
"Mr. Darcy was punctual in his return, and as Lydia informed you, attended the wedding."	"austen"
"Only think what a miserable summer else we shall have!"	"austen"
"We can all plague and punish one another."	"austen"
"I do not know whether I ever before mentioned to you my feelings on this subject; but I will not leave the country without confiding them, and I trust you will not esteem them unreasonable."	"austen"
"His attentions to Miss King were now the consequence of views solely and hatefully mercenary; and the mediocrity of her fortune proved no longer the moderation of his wishes, but his eagerness to grasp at anything."	"austen"
"said Elizabeth to herself."	"austen"
"The ladies were somewhat more fortunate, for they had the advantage of ascertaining from an upper window that he wore a blue coat, and rode a black horse."	"austen"
"Lizzy, cried her mother, remember where you are, and do not run on in the wild manner that you are suffered to do at home."	"austen"
"What Wickham had said of the living was fresh in her memory, and as she recalled his very words, it was impossible not to feel that there was gross duplicity on one side or the other; and, for a few moments, she flattered herself that her wishes did not err."	"austen"
"I was uncomfortable enough, I may say unhappy."	"austen"
"They have known her much longer than they have known me; no wonder if they love her better."	"austen"
"She finds Miss Pope a treasure."	"austen"
"If, in the explanation of them, which is due to myself, I am under the necessity of relating feelings which may be offensive to yours, I can only say that I am sorry."	"austen"
"* * * * * Good gracious!"	"austen"
"When I am in company with him, I will not be wishing."	"austen"
"I shall see her again!"	"austen"
"Another time, Lizzy, said her mother, I would not dance with him, if I were you."	"austen"
"Never had his wit been directed in a manner so little agreeable to her."	"austen"
"Perhaps I am not doing her justice."	"austen"
"I was angry perhaps at first, but my anger soon began to take a proper direction."	"austen"
"I shall be glad to have the library to myself as soon as may be."	"austen"
"It was gratitude; gratitude, not merely for having once loved her, but for loving her still well enough to forgive all the petulance and acrimony of her manner in rejecting him, and all the unjust accusations accompanying her rejection."	"austen"
"In ran Mrs. Bennet to her daughter's room, in her dressing gown, and with her hair half finished, crying out: My dear Jane, make haste and hurry down."	"austen"
"Colonel Forster is a sensible man, and will keep her out of any real mischief; and she is luckily too poor to be an object of prey to anybody."	"austen"
"The families who had been in town for the winter came back again, and summer finery and summer engagements arose."	"austen"
"I told you, the other day, of his infamous behaviour to Mr. Darcy; and you yourself, when last at Longbourn, heard in what manner he spoke of the man who had behaved with such forbearance and liberality towards him."	"austen"
"I wonder what he can be doing there."	"austen"
"But she is very young; she has never been taught to think on serious subjects; and for the last half-year, nay, for a twelvemonthshe has been given up to nothing but amusement and vanity."	"austen"
"You thought me then devoid of every proper feeling, I am sure you did."	"austen"
"Lady Lucas quieted her fears a little by starting the idea of his being gone to London only to get a large party for the ball; and a report soon followed that Mr. Bingley was to bring twelve ladies and seven gentlemen with him to the assembly."	"austen"
"He is the kind of man, indeed, to whom I should never dare refuse anything, which he condescended to ask."	"austen"
"I can remember no symptom of affection on either side; and had anything of the kind been perceptible, you must be aware that ours is not a family on which it could be thrown away."	"austen"
"Whatever he said, was said well; and whatever he did, done gracefully."	"austen"
"I am afraid he has been very imprudent, and has deserved to lose Mr. Darcy's regard."	"austen"
"If I wished to think slightingly of anybody's children, it should not be of my own, however."	"austen"
"The two ladies were delighted to see their dear friend again, called it an age since they had met, and repeatedly asked what she had been doing with herself since their separation."	"austen"
"Your father was gone, your uncle at home, and, as I said before, they had a great deal of talk together."	"austen"
"On the following morning he hastened to Rosings to pay his respects."	"austen"
"Mrs. Gardiner, who was walking arm-in-arm with Elizabeth, gave her a look expressive of wonder."	"austen"
"You will be a very happy woman."	"austen"
"I shall entreat his pardon for not having done it earlier."	"austen"
"He had followed them purposely to town, he had taken on himself all the trouble and mortification attendant on such a research; in which supplication had been necessary to a woman whom he must abominate and despise, and where he was reduced to meet, frequently meet, reason with, persuade, and finally bribe, the man whom he always most wished to avoid, and whose very name it was punishment to him to pronounce."	"austen"
"Lady Catherine approached, and, after listening for a few minutes, said to Darcy: Miss Bennet would not play at all amiss if she practised more, and could have the advantage of a London master."	"austen"
"But with such a father and mother, and such low connections, I am afraid there is no chance of it."	"austen"
"So, do not put yourself to inconvenience."	"austen"
"I never saw such a woman."	"austen"
"But it ended in nothing, and I will not be sent on a fool's errand again."	"austen"
"Mrs. Jenkinson was chiefly employed in watching how little Miss de Bourgh ate, pressing her to try some other dish, and fearing she was indisposed."	"austen"
"I do not know the particulars, but I know very well that Mr. Darcy is not in the least to blame, that he cannot bear to hear George Wickham mentioned, and that though my brother thought that he could not well avoid including him in his invitation to the officers, he was excessively glad to find that he had taken himself out of the way."	"austen"
"The period of expectation was now doubled."	"austen"
"She says Lizzy had better have taken Mr. Collins; but I do not think there would have been any fun in it."	"austen"
"He was the proudest, most disagreeable man in the world, and everybody hoped that he would never come there again."	"austen"
"Do not imagine, Miss Bennet, that your ambition will ever be gratified."	"austen"
"Those to her mother contained little else than that they were just returned from the library, where such and such officers had attended them, and where she had seen such beautiful ornaments as made her quite wild; that she had a new gown, or a new parasol, which she would have described more fully, but was obliged to leave off in a violent hurry, as Mrs. Forster called her, and they were going off to the camp; and from her correspondence with her sister, there was still less to be learntfor her letters to Kitty, though rather longer, were much too full of lines under the words to be made public."	"austen"
"You have only proved by this, cried Elizabeth, that Mr. Bingley did not do justice to his own disposition."	"austen"
"When I went away, I felt that it would soon happen."	"austen"
"Steady to his purpose, he scarcely spoke ten words to her through the whole of Saturday, and though they were at one time left by themselves for half-an-hour, he adhered most conscientiously to his book, and would not even look at her."	"austen"
"But you have chosen your fault well."	"austen"
"Darcy shook his head in silent acquiescence."	"austen"
"You could not have started a more happy idea, since you will not take comfort in mine."	"austen"
"It needed all Jane's steady mildness to bear these attacks with tolerable tranquillity."	"austen"
"Kitty, run down and order the carriage."	"austen"
"He was most highly esteemed by Mr. Darcy, a most intimate, confidential friend."	"austen"
"I was ready to die of laughter."	"austen"
"She tried to recollect some instance of goodness, some distinguished trait of integrity or benevolence, that might rescue him from the attacks of Mr. Darcy; or at least, by the predominance of virtue, atone for those casual errors under which she would endeavour to class what Mr. Darcy had described as the idleness and vice of many years' continuance."	"austen"
"Thus much for my general intention in favour of matrimony; it remains to be told why my views were directed towards Longbourn instead of my own neighbourhood, where I can assure you there are many amiable young women."	"austen"
"Not that I shall, though, she added to herself, as she finished the letter; and my dear aunt, if you do not tell me in an honourable manner, I shall certainly be reduced to tricks and stratagems to find it out."	"austen"
"What a delightful library you have at Pemberley, Mr. Darcy!"	"austen"
"Mrs. Bennet was really in a most pitiable state."	"austen"
"Yes, madam, said Mrs. Bennet, delighted to speak to Lady Catherine."	"austen"
"Mr. Darcy, you must allow me to present this young lady to you as a very desirable partner."	"austen"
"She has known him only a fortnight."	"austen"
"Yes, replied Mr. Wickham; his estate there is a noble one."	"austen"
"But vanity, not love, has been my folly."	"austen"
"I never heard of her existence till the day before yesterday."	"austen"
"And Lydia used to want to go to London, added Kitty."	"austen"
"We are not on friendly terms, and it always gives me pain to meet him, but I have no reason for avoiding him but what I might proclaim before all the world, a sense of very great ill-usage, and most painful regrets at his being what he is."	"austen"
"There will not be the smallest occasion for your coming to town again; therefore stay quiet at Longbourn, and depend on my diligence and care."	"austen"
"I must find Mr. Gardiner this moment, on business that cannot be delayed; I have not an instant to lose."	"austen"
"What an excellent father you have, girls!"	"austen"
"Elizabeth listened as little as she could, but there was no escaping the frequent mention of Wickham's name."	"austen"
"In a softened tone she declared herself not at all offended; but he continued to apologise for about a quarter of an hour."	"austen"
"You certainly do, she replied with a smile; but it does not follow that the interruption must be unwelcome."	"austen"
"But when the gentlemen entered, Jane was no longer the first object; Miss Bingley's eyes were instantly turned toward Darcy, and she had something to say to him before he had advanced many steps."	"austen"
"We must not all expect Jane's good fortune."	"austen"
"An easy distance, do you call it?"	"austen"
"They were not the only objects of Mr. Collins's admiration."	"austen"
"As soon as ever Mr. Bingley comes, my dear, said Mrs. Bennet, you will wait on him of course."	"austen"
"There was certainly at this moment, in Elizabeth's mind, a more gentle sensation towards the original than she had ever felt at the height of their acquaintance."	"austen"
"Or, in other words, you are determined to have him."	"austen"
"I have never heard him say so; but it is probable that he may spend very little of his time there in the future."	"austen"
"I think you said she was a widow, sir?"	"austen"
"No, Lizzy, let me once in my life feel how much I have been to blame."	"austen"
"Follies and nonsense, whims and inconsistencies, do divert me, I own, and I laugh at them whenever I can."	"austen"
"Will you give me leave to defer your raptures till I write again?"	"austen"
"But it was her business to be satisfiedand certainly her temper to be happy; and all was soon right again."	"austen"
"To walk three miles, or four miles, or five miles, or whatever it is, above her ankles in dirt, and alone, quite alone!"	"austen"
"who have often disdained the generous candour of my sister, and gratified my vanity in useless or blameable mistrust!"	"austen"
"But Jane could think with certainty on only one pointthat Mr. Bingley, if he had been imposed on, would have much to suffer when the affair became public."	"austen"
"Mamma, cried Lydia, my aunt says that Colonel Forster and Captain Carter do not go so often to Miss Watson's as they did when they first came; she sees them now very often standing in Clarke's library."	"austen"
"Jane looked well, and Elizabeth had little opportunity of studying her spirits, amidst the various engagements which the kindness of her aunt had reserved for them."	"austen"
"I was right, therefore, my last letter had never reached her."	"austen"
"She went on: From the very beginningfrom the first moment, I may almost sayof my acquaintance with you, your manners, impressing me with the fullest belief of your arrogance, your conceit, and your selfish disdain of the feelings of others, were such as to form the groundwork of disapprobation on which succeeding events have built so immovable a dislike; and I had not known you a month before I felt that you were the last man in the world whom I could ever be prevailed on to marry."	"austen"
"But disguise of every sort is my abhorrence."	"austen"
"I dare say the lace upon Mrs. Hurst's gown Here she was interrupted again."	"austen"
"Her heart did whisper that he had done it for her."	"austen"
"And if I am that choice, why may not I accept him?"	"austen"
"Elizabeth's congratulations were given with a sincerity, a warmth, a delight, which words could but poorly express."	"austen"
"I was so afraid, you know, that something would happen to put it off, and then I should have gone quite distracted."	"austen"
"He must write his own sermons; and the time that remains will not be too much for his parish duties, and the care and improvement of his dwelling, which he cannot be excused from making as comfortable as possible."	"austen"
"I shall like it of all things."	"austen"
"and it is such a good joke, too, that you should have gone this morning and never said a word about it till now."	"austen"
"Do you pay no regard to the wishes of his friends?"	"austen"
"On entering the room, he seemed to hesitate; but Jane happened to look round, and happened to smile: it was decided."	"austen"
"I can hardly write for laughing."	"austen"
"He was on one side of her mother."	"austen"
"But your arts and allurements may, in a moment of infatuation, have made him forget what he owes to himself and to all his family."	"austen"
"it is of no consequence."	"austen"
"Elizabeth's astonishment was beyond expression."	"austen"
"Jane heard them with horror."	"austen"
"She assured him that no one intended to play, and the silence of the whole party on the subject seemed to justify her."	"austen"
"Jane could have no reserves from Elizabeth, where confidence would give pleasure; and instantly embracing her, acknowledged, with the liveliest emotion, that she was the happiest creature in the world."	"austen"
"She had even condescended to advise him to marry as soon as he could, provided he chose with discretion; and had once paid him a visit in his humble parsonage, where she had perfectly approved all the alterations he had been making, and had even vouchsafed to suggest some herselfsome shelves in the closet up stairs."	"austen"
"As all conversation was thereby at an end, Elizabeth soon afterwards left the room."	"austen"
"We are not in a way to know what Mr. Bingley likes, said her mother resentfully, since we are not to visit."	"austen"
"It was exactly a scene, and exactly among people, where he had apparently least to do, and least temptation to go."	"austen"
"I thought too ill of him to invite him to Pemberley, or admit his society in town."	"austen"
"It is a relation which you tell me is to give you great surprise; I hope at least it will not afford you any displeasure."	"austen"
"Scarcely anything was talked of the whole day or next morning but their visit to Rosings."	"austen"
"I cannot be so easily reconciled to myself."	"austen"
"I had not the smallest idea of their being ever felt in such a way."	"austen"
"Elizabeth's mind was now relieved from a very heavy weight; and, after half an hour's quiet reflection in her own room, she was able to join the others with tolerable composure."	"austen"
"They will join me early to-morrow, he continued, and among them are some who will claim an acquaintance with youMr."	"austen"
"I do not at all know; but I heard nothing of his going away when I was at Netherfield."	"austen"
"Laugh as much as you choose, but you will not laugh me out of my opinion."	"austen"
"After joining in general lamentations over the dreadful sequel of this event, which Elizabeth considered as all but certain, and Miss Bennet could not assert to be wholly impossible, the former continued the subject, by saying, But tell me all and everything about it which I have not already heard."	"austen"
"A great many indeed, said her companion with a sigh."	"austen"
"﻿Chapter 1 It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife."	"austen"
"They would doubtless be congenial with the generality of female minds."	"austen"
"I had no notion but he would go a-shooting, or something or other, and not disturb us with his company."	"austen"
"Adieu to disappointment and spleen."	"austen"
"Such amiable qualities must speak for themselves."	"austen"
"Chapter 58 Instead of receiving any such letter of excuse from his friend, as Elizabeth half expected Mr. Bingley to do, he was able to bring Darcy with him to Longbourn before many days had passed after Lady Catherine's visit."	"austen"
"And when her sisters abused it as ugly, she added, with perfect unconcern, Oh!"	"austen"
"She had never seen a place for which nature had done more, or where natural beauty had been so little counteracted by an awkward taste."	"austen"
"Bingley, his two sisters, the husband of the eldest, and another young man."	"austen"
"It is very often nothing but our own vanity that deceives us."	"austen"
"And with no one to speak to about what I felt, no Jane to comfort me and say that I had not been so very weak and vain and nonsensical as I knew I had!"	"austen"
"Forgive me; and if you persist in indifference, do not make me your confidante."	"austen"
"do not repeat what I then said."	"austen"
"It is very unlucky; but as I have actually paid the visit, we cannot escape the acquaintance now."	"austen"
"Indeed, Mr. Bennet, said she, it is very hard to think that Charlotte Lucas should ever be mistress of this house, that I should be forced to make way for her, and live to see her take her place in it!"	"austen"
"Again his astonishment was obvious; and he looked at her with an expression of mingled incredulity and mortification."	"austen"
"Is not general incivility the very essence of love?"	"austen"
"I wish I could see her."	"austen"
"I will not be in a hurry to believe myself his first object."	"austen"
"What a pity it is, mamma, we did not all go."	"austen"
"Elizabeth could not but look surprised."	"austen"
"Pleased with the preference of one, and offended by the neglect of the other, on the very beginning of our acquaintance, I have courted prepossession and ignorance, and driven reason away, where either were concerned."	"austen"
"Colonel Fitzwilliam was no longer an object; she could think only of her letter."	"austen"
"There was too much to be thought, and felt, and said, for attention to any other objects."	"austen"
"If Mr. Darcy is neither by honour nor inclination confined to his cousin, why is not he to make another choice?"	"austen"
"Elizabeth, who had a letter to write, went into the breakfast room for that purpose soon after tea; for as the others were all going to sit down to cards, she could not be wanted to counteract her mother's schemes."	"austen"
"I was sure you loved your girls too well to neglect such an acquaintance."	"austen"
"Both changed colour, one looked white, the other red."	"austen"
"But consider your daughters."	"austen"
"To Mr. Bennet's acknowledgments he briefly replied, with assurance of his eagerness to promote the welfare of any of his family; and concluded with entreaties that the subject might never be mentioned to him again."	"austen"
"I wonder he does not marry, to secure a lasting convenience of that kind."	"austen"
"We now come to the point."	"austen"
"He has been accused of many faults at different times, but this is the true one."	"austen"
"No sooner did he appear than Elizabeth wisely resolved to be perfectly easy and unembarrassed; a resolution the more necessary to be made, but perhaps not the more easily kept, because she saw that the suspicions of the whole party were awakened against them, and that there was scarcely an eye which did not watch his behaviour when he first came into the room."	"austen"
"Chapter 56 One morning, about a week after Bingley's engagement with Jane had been formed, as he and the females of the family were sitting together in the dining-room, their attention was suddenly drawn to the window, by the sound of a carriage; and they perceived a chaise and four driving up the lawn."	"austen"
"The distance is nothing when one has a motive; only three miles."	"austen"
"After wandering along the lane for two hours, giving way to every variety of thoughtre-considering events, determining probabilities, and reconciling herself, as well as she could, to a change so sudden and so important, fatigue, and a recollection of her long absence, made her at length return home; and she entered the house with the wish of appearing cheerful as usual, and the resolution of repressing such reflections as must make her unfit for conversation."	"austen"
"Every lingering struggle in his favour grew fainter and fainter; and in farther justification of Mr. Darcy, she could not but allow that Mr. Bingley, when questioned by Jane, had long ago asserted his blamelessness in the affair; that proud and repulsive as were his manners, she had never, in the whole course of their acquaintancean acquaintance which had latterly brought them much together, and given her a sort of intimacy with his waysseen anything that betrayed him to be unprincipled or unjustanything that spoke him of irreligious or immoral habits; that among his own connections he was esteemed and valuedthat even Wickham had allowed him merit as a brother, and that she had often heard him speak so affectionately of his sister as to prove him capable of some amiable feeling; that had his actions been what Mr. Wickham represented them, so gross a violation of everything right could hardly have been concealed from the world; and that friendship between a person capable of it, and such an amiable man as Mr. Bingley, was incomprehensible."	"austen"
"The day passed most pleasantly away; the morning in bustle and shopping, and the evening at one of the theatres."	"austen"
"So high and so conceited that there was no enduring him!"	"austen"
"Such formidable accounts of her ladyship, and her manner of living, quite frightened Maria Lucas who had been little used to company, and she looked forward to her introduction at Rosings with as much apprehension as her father had done to his presentation at St. James's."	"austen"
"After abusing you so abominably to your face, I could have no scruple in abusing you to all your relations."	"austen"
"Yet, indeed, I am in earnest."	"austen"
"I had not thought so very ill of him."	"austen"
"I had not thought Mr. Darcy so bad as thisthough I have never liked him."	"austen"
"You are a good girl; he replied, and I have great pleasure in thinking you will be so happily settled."	"austen"
"If they believed him attached to me, they would not try to part us; if he were so, they could not succeed."	"austen"
"His surprise was great."	"austen"
"Miss Lucas is married and settled."	"austen"
"Here are officers enough in Meryton to disappoint all the young ladies in the country."	"austen"
"Elizabeth had at first rather wondered that Charlotte should not prefer the dining-parlour for common use; it was a better sized room, and had a more pleasant aspect; but she soon saw that her friend had an excellent reason for what she did, for Mr. Collins would undoubtedly have been much less in his own apartment, had they sat in one equally lively; and she gave Charlotte credit for the arrangement."	"austen"
"I have faults enough, but they are not, I hope, of understanding."	"austen"
"I never saw such capacity, and taste, and application, and elegance, as you describe united."	"austen"
"He immediately offered to fetch her othersall that his library afforded."	"austen"
"Who do you mean, my dear?"	"austen"
"In a doleful voice Mrs. Bennet began the projected conversation: Oh!"	"austen"
"It is, I believe, too little yieldingcertainly too little for the convenience of the world."	"austen"
"The first two dances, however, brought a return of distress; they were dances of mortification."	"austen"
"But these, I suppose, are precisely what you are without."	"austen"
"On reaching the house, they were shown through the hall into the saloon, whose northern aspect rendered it delightful for summer."	"austen"
"The express was sent off directly."	"austen"
"I thought we never should have got into the coach."	"austen"
"She was disappointed, and angry with herself for being so."	"austen"
"When the first transports of rage which had produced his activity in seeking her were over, he naturally returned to all his former indolence."	"austen"
"Let me thank you again and again, in the name of all my family, for that generous compassion which induced you to take so much trouble, and bear so many mortifications, for the sake of discovering them."	"austen"
"He is now gone into the army, she added; but I am afraid he has turned out very wild."	"austen"
"He was quite young, wonderfully handsome, extremely agreeable, and, to crown the whole, he meant to be at the next assembly with a large party."	"austen"
"Of the lady's sensations they remained a little in doubt; but that the gentleman was overflowing with admiration was evident enough."	"austen"
"And men take care that they should."	"austen"
"Mr. Bingley and Jane were standing together, a little detached from the rest, and talked only to each other."	"austen"
"My father bears it better."	"austen"
"Miss Bennet's pleasing manners grew on the goodwill of Mrs. Hurst and Miss Bingley; and though the mother was found to be intolerable, and the younger sisters not worth speaking to, a wish of being better acquainted with them was expressed towards the two eldest."	"austen"
"But now that my dear uncle is come, I hope everything will be well."	"austen"
"But perhaps, added he, stopping in his walk, and turning towards her, these offenses might have been overlooked, had not your pride been hurt by my honest confession of the scruples that had long prevented my forming any serious design."	"austen"
"To oblige you, I would try to believe almost anything, but no one else could be benefited by such a belief as this; for were I persuaded that Charlotte had any regard for him, I should only think worse of her understanding than I now do of her heart."	"austen"
"I was afraid they might not; and we overtook William Goulding in his curricle, so I was determined he should know it, and so I let down the side-glass next to him, and took off my glove, and let my hand just rest upon the window frame, so that he might see the ring, and then I bowed and smiled like anything."	"austen"
"He meant to provide for me amply, and thought he had done it; but when the living fell, it was given elsewhere."	"austen"
"I will not spend my hours in running after my neighbours every time they go away and come back again."	"austen"
"Many of my acquaintances are already there for the winter; I wish that I could hear that you, my dearest friend, had any intention of making one of the crowdbut of that I despair."	"austen"
"She was busily searching through the neighbourhood for a proper situation for her daughter, and, without knowing or considering what their income might be, rejected many as deficient in size and importance."	"austen"
"How rejoiced was Elizabeth that their own journey had not by any circumstance been delayed a day!"	"austen"
"Supposing him to be attached to me, would my refusing to accept his hand make him wish to bestow it on his cousin?"	"austen"
"Had Miss Bingley known what pain she was then giving her beloved friend, she undoubtedly would have refrained from the hint; but she had merely intended to discompose Elizabeth by bringing forward the idea of a man to whom she believed her partial, to make her betray a sensibility which might injure her in Darcy's opinion, and, perhaps, to remind the latter of all the follies and absurdities by which some part of her family were connected with that corps."	"austen"
"But he was set right there by Mrs. Bennet, who assured him with some asperity that they were very well able to keep a good cook, and that her daughters had nothing to do in the kitchen."	"austen"
"I am confident that she would have performed delightfully."	"austen"
"and with the knowledge of your ill opinion, too!"	"austen"
"Elizabeth told her the motives of her secrecy."	"austen"
"Neither had anything occurred in the intelligence of their Lambton friends that could materially lessen its weight."	"austen"
"The advice was followed readily, for the feverish symptoms increased, and her head ached acutely."	"austen"
"His daughter's request, for such it might be considered, of being admitted into her family again before she set off for the North, received at first an absolute negative."	"austen"
"Miss Bennet, do you know who I am?"	"austen"
"Mrs. Gardiner and Elizabeth talked of all that had occurred during their visit, as they returned, except what had particularly interested them both."	"austen"
"Lydia talked incessantly of lottery tickets, of the fish she had lost and the fish she had won; and Mr. Collins in describing the civility of Mr. and Mrs. Phillips, protesting that he did not in the least regard his losses at whist, enumerating all the dishes at supper, and repeatedly fearing that he crowded his cousins, had more to say than he could well manage before the carriage stopped at Longbourn House."	"austen"
"Charlotte did not stay much longer, and Elizabeth was then left to reflect on what she had heard."	"austen"
"It was not all settled before Monday: as soon as it was, the express was sent off to Longbourn."	"austen"
"They insist also on my seeing Mr. Jonestherefore do not be alarmed if you should hear of his having been to meand, excepting a sore throat and headache, there is not much the matter with me.Yours, etc."	"austen"
"When she was only fifteen, there was a man at my brother Gardiner's in town so much in love with her that my sister-in-law was sure he would make her an offer before we came away."	"austen"
"I mend pens remarkably well."	"austen"
"Have you anything else to propose for my domestic felicity?"	"austen"
"I am afraid, Mr. Darcy, observed Miss Bingley in a half whisper, that this adventure has rather affected your admiration of her fine eyes."	"austen"
"I am sure Wickham would like a place at court very much, and I do not think we shall have quite money enough to live upon without some help."	"austen"
"My faults, according to this calculation, are heavy indeed!"	"austen"
"Caroline did not return my visit till yesterday; and not a note, not a line, did I receive in the meantime."	"austen"
"Jane was as much gratified by this as her mother could be, though in a quieter way."	"austen"
"Whatever can give his sister any pleasure is sure to be done in a moment."	"austen"
"Were it for nothing but his love of you, I must always have esteemed him; but now, as Bingley's friend and your husband, there can be only Bingley and yourself more dear to me."	"austen"
"But pridewhere there is a real superiority of mind, pride will be always under good regulation."	"austen"
"Lady Catherine was extremely indignant on the marriage of her nephew; and as she gave way to all the genuine frankness of her character in her reply to the letter which announced its arrangement, she sent him language so very abusive, especially of Elizabeth, that for some time all intercourse was at an end."	"austen"
"She owed her greatest relief to her friend Miss Lucas, who often joined them, and good-naturedly engaged Mr. Collins's conversation to herself."	"austen"
"At any rate, she cannot grow many degrees worse, without authorising us to lock her up for the rest of her life."	"austen"
"The promised letter of thanks from Mr. Collins arrived on Tuesday, addressed to their father, and written with all the solemnity of gratitude which a twelvemonth's abode in the family might have prompted."	"austen"
"Elizabeth felt herself completely taken in."	"austen"
"And this, cried Darcy, as he walked with quick steps across the room, is your opinion of me!"	"austen"
"She examined into their employments, looked at their work, and advised them to do it differently; found fault with the arrangement of the furniture; or detected the housemaid in negligence; and if she accepted any refreshment, seemed to do it only for the sake of finding out that Mrs. Collins's joints of meat were too large for her family."	"austen"
"I never heard you speak ill of a human being in your life."	"austen"
"You must not be too severe upon yourself, replied Elizabeth."	"austen"
"Oh, yes!if one could but go to Brighton!"	"austen"
"While they were dressing, he came two or three times to their different doors, to recommend their being quick, as Lady Catherine very much objected to be kept waiting for her dinner."	"austen"
"The rector of a parish has much to do."	"austen"
"No one but Mrs. Bennet regretted that their stay would be so short; and she made the most of the time by visiting about with her daughter, and having very frequent parties at home."	"austen"
"Miss Bingley, I am sure, cannot."	"austen"
"My dear, replied her husband, I have two small favours to request."	"austen"
"Yes, I really believe Darcy does take care of him in those points where he most wants care."	"austen"
"But how came you to tell me that he was so disagreeable?"	"austen"
"Elizabeth, however, did not choose to take the hint, being well aware that a serious dispute must be the consequence of any reply."	"austen"
"Four weeks were to pass away before her uncle and aunt's arrival."	"austen"
"The supposition did not pain her."	"austen"
"She answered him in the usual way, and after a moment's pause, added: My eldest sister has been in town these three months."	"austen"
"No; hatred had vanished long ago, and she had almost as long been ashamed of ever feeling a dislike against him, that could be so called."	"austen"
"I send no compliments to your mother."	"austen"
"What do you think has happened this morning?"	"austen"
"By supposing such an affection, you make everybody acting unnaturally and wrong, and me most unhappy."	"austen"
"Do not involve yourself or endeavour to involve him in an affection which the want of fortune would make so very imprudent."	"austen"
"Elizabeth would not observe her; and when at last Kitty did, she very innocently said, What is the matter mamma?"	"austen"
"This information made Elizabeth smile, as she thought of poor Miss Bingley."	"austen"
"She perfectly remembered everything that had passed in conversation between Wickham and herself, in their first evening at Mr. Phillips's."	"austen"
"She directly replied: You need not be frightened."	"austen"
"Though suspicion was very far from Miss Bennet's general habits, she was absolutely incredulous here."	"austen"
"But this idea was soon banished, and her spirits were very differently affected, when, to her utter amazement, she saw Mr. Darcy walk into the room."	"austen"
"Elizabeth would not oppose such an injunctionand a moment's consideration making her also sensible that it would be wisest to get it over as soon and as quietly as possible, she sat down again and tried to conceal, by incessant employment the feelings which were divided between distress and diversion."	"austen"
"My dear Mr. Bennet, replied his wife, how can you be so tiresome!"	"austen"
"When a woman has five grown-up daughters, she ought to give over thinking of her own beauty."	"austen"
"In spite of having been at St. James's Sir William was so completely awed by the grandeur surrounding him, that he had but just courage enough to make a very low bow, and take his seat without saying a word; and his daughter, frightened almost out of her senses, sat on the edge of her chair, not knowing which way to look."	"austen"
"Mr. Darcy took her advice, and did finish his letter."	"austen"
"Lord, how ashamed I should be of not being married before three-and-twenty!"	"austen"
"Do you certainly leave Kent on Saturday?"	"austen"
"Elizabeth received them with all the forbearance of civility, and, at the request of the gentlemen, remained at the instrument till her ladyship's carriage was ready to take them all home."	"austen"
"For God's sake, say no more of his partners."	"austen"
"He is not at all liked in Hertfordshire."	"austen"
"Mrs. Bennet, in short, was in very great spirits; she had seen enough of Bingley's behaviour to Jane, to be convinced that she would get him at last; and her expectations of advantage to her family, when in a happy humour, were so far beyond reason, that she was quite disappointed at not seeing him there again the next day, to make his proposals."	"austen"
"His countenance, voice, and manner had established him at once in the possession of every virtue."	"austen"
"My ideas flow so rapidly that I have not time to express themby which means my letters sometimes convey no ideas at all to my correspondents."	"austen"
"Mrs. Bennet was privileged to whisper it to Mrs. Phillips, and she ventured, without any permission, to do the same by all her neighbours in Meryton."	"austen"
"But I dare not hope it."	"austen"
"Not that I care about it, though."	"austen"
"At present I will not say more; but, perhaps, when we are better acquainted He was interrupted by a summons to dinner; and the girls smiled on each other."	"austen"
"But the wife of Mr. Darcy must have such extraordinary sources of happiness necessarily attached to her situation, that she could, upon the whole, have no cause to repine."	"austen"
"I scarcely know anyone who cannot do all this, and I am sure I never heard a young lady spoken of for the first time, without being informed that she was very accomplished."	"austen"
"That is an uncommon advantage, and uncommon I hope it will continue, for it would be a great loss to me to have many such acquaintances."	"austen"
"Darcy, on the contrary, had seen a collection of people in whom there was little beauty and no fashion, for none of whom he had felt the smallest interest, and from none received either attention or pleasure."	"austen"
"Yes, ma'am, that he was indeed; and his son will be just like himjust as affable to the poor."	"austen"
"I speak nothing but the truth."	"austen"
"Her father was walking about the room, looking grave and anxious."	"austen"
"You expect me to account for opinions which you choose to call mine, but which I have never acknowledged."	"austen"
"But perhaps he may be a little whimsical in his civilities, replied her uncle."	"austen"
"You can now have nothing further to say, she resentfully answered."	"austen"
"It certainly is a most iniquitous affair, said Mr. Bennet, and nothing can clear Mr. Collins from the guilt of inheriting Longbourn."	"austen"
